event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
28,29,64,0,3,5.39603845E+01,5.52506437E+04,-2.97151843E-01,-5.51397934E-01,7.79526203E-01,-2.97151843E-01,-5.51397934E-01,7.79526203E-01,1.00000000E+00,2,2,29064
29,29,64,0,3,3.97427069E+01,3.35205507E+04,9.02561574E-02,9.59476517E-01,2.66943139E-01,9.02561574E-02,9.59476517E-01,2.66943139E-01,1.00000000E+00,2,2,29064
29,29,64,0,3,6.53999996E+00,3.35205507E+04,-9.08602378E-02,9.80449749E-01,-1.74535687E-01,-9.08602378E-02,9.80449749E-01,-1.74535687E-01,1.00000000E+00,2,2,29064
30,29,64,0,3,8.39999984E-01,1.18490500E+05,-3.80553643E-01,-8.85451993E-01,-2.66746494E-01,-3.80553643E-01,-8.85451993E-01,-2.66746494E-01,1.00000000E+00,2,2,29064
31,29,64,0,3,8.39999984E-01,1.10944527E+04,-4.02673918E-01,4.97481905E-01,7.68352439E-01,-4.02673918E-01,4.97481905E-01,7.68352439E-01,1.00000000E+00,2,2,29064
32,29,64,0,3,2.02956200E+02,2.27599849E+04,-1.80493137E-01,9.83127744E-01,2.96996153E-02,-1.80493137E-01,9.83127744E-01,2.96996153E-02,1.00000000E+00,2,2,29064
32,29,64,0,3,6.53999996E+00,2.27599849E+04,-8.71319996E-01,-4.86610074E-01,6.33411406E-02,-8.71319996E-01,-4.86610074E-01,6.33411406E-02,1.00000000E+00,2,2,29064
33,29,64,0,3,8.39999984E-01,2.29379207E+04,7.31959472E-01,6.71963799E-01,1.12694205E-01,7.31959472E-01,6.71963799E-01,1.12694205E-01,1.00000000E+00,2,2,29064
34,29,64,0,3,2.89206016E+02,7.42563006E+04,-6.82633891E-01,6.35580320E-01,-3.60622557E-01,-6.82633891E-01,6.35580320E-01,-3.60622557E-01,1.00000000E+00,2,2,29064
35,29,64,0,3,2.12221906E+02,4.17343979E+04,2.87240359E-02,-6.33870406E-02,9.97575567E-01,2.87240359E-02,-6.33870406E-02,9.97575567E-01,1.00000000E+00,2,2,29064
