code,source_volume,source_histories,w2_raw_events,conditional_efficiency,active_veto_events,active_veto_fraction,median_source_to_tes_cm,p10_source_to_tes_cm,p90_source_to_tes_cm,single_tes_pixel_fraction,multi_tes_pixel_fraction,shield_touched_fraction,side_shield_touched_fraction,top_tes_channels,top_carriers
fluka,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,407,5,0.012285012285012284,3,0.6,3.6671784670332643,1.8414873243813932,5.135835648927126,1.0,0.0,0.4,0.4,TP_L1_00111:1; TP_L4_00370:1; TP_L0_00198:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:5
fluka,Cu_SubstrateSupport_OpenRing_L4_YP_panel,304,7,0.023026315789473683,7,1.0,2.5177318891722984,1.5999122933895578,4.012062092819699,0.7142857142857143,0.2857142857142857,0.0,0.0,TP_L1_00363:1; TP_L1_00374:1; TP_L1_00014:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:8; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1
fluka,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,277,2,0.007220216606498195,1,0.5,3.3826993216976153,1.993960276067139,4.771438367328091,1.0,0.0,0.5,0.5,TP_L3_00044:1; TP_L0_00285:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,Cu_SubstrateSupport_OpenRing_L4_ZP_panel,139,1,0.007194244604316547,1,1.0,4.941071934455537,4.941071934455537,4.941071934455537,0.0,1.0,0.0,0.0,TP_L5_00241:1; TP_L5_00220:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,Cu_SubstrateSupport_OpenRing_L5_YP_panel,432,13,0.03009259259259259,6,0.46153846153846156,2.3095021599653016,1.532827114647524,3.7476192376210347,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.6153846153846154,TP_L0_00291:1; TP_L0_00312:1; TP_L0_00292:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:22
fluka,Cu_SubstrateSupport_OpenRing_L5_ZP_panel,305,3,0.009836065573770493,1,0.3333333333333333,2.272994841505312,1.037946733522527,3.2736342093731094,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,TP_L0_00318:1; TP_L0_00319:1; TP_L2_00054:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:5
fluka,Cu_SubstrateSupport_SolidDisk_L0_deepest,4708,74,0.015717926932880204,41,0.5540540540540541,1.7269183884086223,0.6474563489034666,3.496766668080041,0.6621621621621622,0.33783783783783783,0.47297297297297297,0.35135135135135137,TP_L2_00367:2; TP_L0_00367:2; TP_L2_00120:2,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:103
fluka,DR_4K_Condenser_Cu,17828,1,5.609154139555755e-05,1,1.0,21.92168451013032,21.92168451013032,21.92168451013032,0.0,1.0,0.0,0.0,TP_L4_00169:1; TP_L5_00143:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,DR_Capillary_CuNi_CP_Still,2992,4,0.001336898395721925,3,0.75,14.23952479162914,11.948604957879258,14.481479553812171,0.5,0.5,0.25,0.0,TP_L0_00375:1; TP_L0_00364:1; TP_L0_00188:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:6
fluka,DR_Capillary_CuNi_MXC_CP,1835,5,0.0027247956403269754,2,0.4,7.689772835589695,6.529042727575007,9.770260763310366,0.8,0.2,0.6,0.2,TP_L1_00152:1; TP_L4_00319:1; TP_L1_00139:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:6
fluka,DR_Capillary_CuNi_Still_4K,16721,3,0.0001794151067519885,2,0.6666666666666666,16.54576127077697,16.1883592074562,18.329247050571382,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,TP_L5_00164:1; TP_L3_00220:1; TP_L2_00087:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:4
fluka,DR_Continuous_HEX_CuNi_CP_to_Still,13913,17,0.0012218788183713074,15,0.8823529411764706,12.143279559347196,9.774736083117338,13.980302334833262,0.7058823529411765,0.29411764705882354,0.11764705882352941,0.0,TP_L3_00321:2; TP_L4_00202:1; TP_L4_00181:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:21; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1
fluka,DR_Continuous_HEX_CuNi_MXC_to_CP,9197,30,0.0032619332390997065,14,0.4666666666666667,5.687781653550069,3.294806392621546,8.973967293516331,0.5,0.5,0.5333333333333333,0.3333333333333333,TP_L3_00238:1; TP_L3_00239:1; TP_L2_00269:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:47; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1
fluka,DR_MixingChamber_Cu,14457,39,0.0026976551151691223,35,0.8974358974358975,5.706189817982526,3.7812981510992696,7.665434558986557,0.5897435897435898,0.41025641025641024,0.10256410256410256,0.05128205128205128,TP_L4_00062:1; TP_L4_00081:1; TP_L2_00064:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:53; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3
fluka,DR_Still_Pot_Cu,28450,12,0.00042179261862917397,11,0.9166666666666666,14.859984386954117,12.16591432395465,16.465910610339698,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,TP_L1_00207:1; TP_L4_00339:1; TP_L5_00262:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:17
megalib,ColdPlate_4K,391829,11,2.807347082528348e-05,11,1.0,26.93613833993079,25.185969944952873,27.83914556699217,0.5454545454545454,0.45454545454545453,0.0,0.0,TP_L5_00145:1; TP_L2_00325:1; TP_L2_00217:1,MEGAlib:e-|gamma|phot|msc:85; MEGAlib:e-|gamma|phot|eIoni:33; MEGAlib:gamma|e+|annihil|compt:12
megalib,ColdPlate_CP_100mK_intercept,95876,42,0.0004380658350369227,40,0.9523809523809523,11.716926732521511,10.495262241206902,12.861171914460279,0.7380952380952381,0.2619047619047619,0.047619047619047616,0.023809523809523808,TP_L2_00243:2; TP_L1_00344:1; TP_L1_00069:1,MEGAlib:e-|gamma|phot|eIoni:138; MEGAlib:e-|gamma|phot|msc:93; MEGAlib:gamma|gamma|phot|phot:50
megalib,ColdPlate_MXC_50mK_SD_anchor,84445,227,0.002688140209603884,187,0.8237885462555066,6.565891063417915,4.914108696241947,8.62908241850656,0.5947136563876652,0.4052863436123348,0.18061674008810572,0.0881057268722467,TP_L5_00281:2; TP_L4_00127:2; TP_L0_00216:2,MEGAlib:e-|gamma|phot|eIoni:728; MEGAlib:e-|gamma|phot|msc:685; MEGAlib:gamma|gamma|phot|phot:283
megalib,ColdPlate_Still_0p7K,188826,22,0.0001165093790050099,22,1.0,17.202217908734873,15.824269388845721,18.685867119412254,0.5,0.5,0.0,0.0,TP_L4_00268:1; TP_L2_00102:1; TP_L4_00241:1,MEGAlib:e-|gamma|phot|msc:138; MEGAlib:e-|gamma|phot|eIoni:64; MEGAlib:e-|gamma|compt|msc:32
megalib,Cu_50mK_StillLike_Can_bottom_cap_2mm,26982,114,0.004225038914832111,40,0.3508771929824561,5.819293308225053,4.095504862338796,8.11256898489784,0.6140350877192983,0.38596491228070173,0.6666666666666666,0.13157894736842105,TP_L1_00156:3; TP_L3_00231:2; TP_L2_00040:2,MEGAlib:e-|gamma|phot|msc:382; MEGAlib:e-|gamma|phot|eIoni:370; MEGAlib:gamma|gamma|phot|phot:144
megalib,Cu_50mK_StillLike_Can_side_wall_above_side_port,26299,77,0.002927867979771094,22,0.2857142857142857,7.134332875589422,5.773233434624389,9.046634414064993,0.5714285714285714,0.42857142857142855,0.7402597402597403,0.4675324675324675,TP_L0_00101:2; TP_L5_00127:1; TP_L3_00292:1,MEGAlib:e-|gamma|phot|msc:334; MEGAlib:e-|gamma|phot|eIoni:240; MEGAlib:gamma|gamma|phot|phot:87
megalib,Cu_50mK_StillLike_Can_side_wall_below_side_port,17795,53,0.0029783647091879742,18,0.33962264150943394,7.074664186996076,5.594597967012421,9.287682793766557,0.6792452830188679,0.32075471698113206,0.6792452830188679,0.5849056603773585,TP_L3_00179:2; TP_L2_00224:1; TP_L3_00345:1,MEGAlib:e-|gamma|phot|eIoni:173; MEGAlib:e-|gamma|phot|msc:108; MEGAlib:gamma|gamma|phot|phot:59
megalib,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,31280,107,0.0034207161125319693,25,0.2336448598130841,6.72616181472599,5.003980026507138,8.455605122299284,0.6728971962616822,0.32710280373831774,0.7663551401869159,0.7663551401869159,TP_L0_00256:3; TP_L3_00189:2; TP_L4_00093:2,MEGAlib:e-|gamma|phot|eIoni:359; MEGAlib:e-|gamma|phot|msc:322; MEGAlib:gamma|gamma|phot|phot:130
megalib,Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,156,2,0.01282051282051282,0,0.0,1.8914183030407994,1.8441764343112723,1.9386601717703267,1.0,0.0,1.0,1.0,TP_L5_00046:1; TP_L5_00061:1,MEGAlib:e-|gamma|phot|msc:25; MEGAlib:e-|gamma|phot|eIoni:6; MEGAlib:gamma|e+|annihil|phot:2
megalib,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,152,1,0.006578947368421052,0,0.0,1.1970907762419778,1.1970907762419778,1.1970907762419778,1.0,0.0,1.0,0.0,TP_L5_00107:1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,145,3,0.020689655172413793,2,0.6666666666666666,1.4139947831193405,1.1653978390238162,2.491136800728637,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,TP_L5_00353:1; TP_L5_00017:1; TP_L5_00031:1,MEGAlib:e-|gamma|phot|msc:20; MEGAlib:e-|gamma|phot|eIoni:6; MEGAlib:gamma|e+|annihil|phot:3
megalib,Cu_ColdFinger_Stem_YM_ZM_to_MXC,150,1,0.006666666666666667,0,0.0,5.322491759086328,5.322491759086328,5.322491759086328,1.0,0.0,1.0,0.0,TP_L5_00044:1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,Cu_ColdFinger_Stem_YP_ZM_to_MXC,419,1,0.002386634844868735,1,1.0,5.631446186583139,5.631446186583139,5.631446186583139,1.0,0.0,0.0,0.0,TP_L5_00309:1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,Cu_ColdFinger_Stem_YP_ZP_to_MXC,158,1,0.006329113924050633,0,0.0,6.5232121243565055,6.5232121243565055,6.5232121243565055,0.0,1.0,1.0,0.0,TP_L3_00363:1; TP_L3_00331:1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:3; MEGAlib:gamma|e+|annihil|compt:2
megalib,Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,141,1,0.0070921985815602835,1,1.0,8.028086979908835,8.028086979908835,8.028086979908835,1.0,0.0,0.0,0.0,TP_L3_00184:1,MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,Cu_SubstrateSupport_OpenRing_L1_YM_panel,140,6,0.04285714285714286,3,0.5,2.0973407208934756,1.1511205348326,4.29688488444447,0.8333333333333334,0.16666666666666666,0.5,0.5,TP_L2_00049:1; TP_L4_00195:1; TP_L4_00217:1,MEGAlib:e-|gamma|phot|msc:37; MEGAlib:e-|gamma|phot|eIoni:17; MEGAlib:gamma|e+|annihil|phot:6
megalib,Cu_SubstrateSupport_OpenRing_L1_YP_panel,430,6,0.013953488372093023,2,0.3333333333333333,2.3382540380301275,2.0315984685725823,3.0543428137368673,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,TP_L1_00187:1; TP_L1_00144:1; TP_L1_00295:1,MEGAlib:e-|gamma|phot|eIoni:20; MEGAlib:gamma|e+|annihil|compt:6; MEGAlib:gamma|e+|annihil|phot:6
megalib,Cu_SubstrateSupport_OpenRing_L1_ZP_panel,137,5,0.0364963503649635,4,0.8,2.357011717283792,1.165886984183658,2.6191312221059624,0.6,0.4,0.2,0.2,TP_L0_00107:1; TP_L0_00232:1; TP_L0_00211:1,MEGAlib:e-|gamma|phot|msc:37; MEGAlib:e-|gamma|phot|eIoni:19; MEGAlib:gamma|gamma|phot|phot:8
