nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Cu-64,29,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.50138,-0.64447,0.5773,6.43
Cu-64,29,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.40143,-0.37579,-0.83525,1.873
Cu-64,30,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.48711,0.85416,-0.18204,1666.059
Cu-64,30,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.48711,-0.85416,0.18204,0.023
Cu-64,30,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.35096,-0.67508,0.64892,7.436
Cu-64,30,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.51872,-0.6413,0.56539,0.711
Cu-64,30,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.87216,-0.31664,-0.37292,0.156
Cu-64,31,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.79547,0.59508,-0.11447,1666.059
Cu-64,31,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.79547,-0.59508,0.11447,0.023
Cu-64,31,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.72554,-0.45243,-0.51856,6.568
Cu-64,31,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.46015,-0.52161,0.71847,0.775
Cu-64,31,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.30793,-0.69852,-0.64594,0.96
Cu-64,32,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.26448,-0.96412,-0.02294,210.096
Cu-64,32,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.91047,-0.26277,-0.31936,369.595
Cu-64,32,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.61639,0.76893,0.16972,0.005
Cu-64,33,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.6952,-0.681,-0.23007,260.22
Cu-64,33,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.4525,0.3842,0.80476,392.164
Cu-64,33,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.88553,0.37117,-0.27941,0.004
Cu-64,34,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.61166,0.04193,-0.79001,439.326
Cu-64,34,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.82481,0.24188,0.51106,140.367
Cu-64,34,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.55209,-0.09963,0.82781,0.004
Cu-64,35,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.58122,-0.55241,0.59752,1666.059
Cu-64,35,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.58122,0.55241,-0.59752,0.023
Cu-64,35,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.38927,-0.12264,0.91292,7.339
Cu-64,35,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.04743,-0.34964,0.93568,0.855
Cu-64,35,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.7233,-0.55852,-0.40607,0.108
Cu-64,36,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.34824,0.90394,0.24823,154.219
