primary_id,source_event_id,pair_id,pair_member,family,particle,fluka_particle_code,megalib_particle_code,kinetic_energy_keV,x_cm,y_cm,z_cm,dir_x,dir_y,dir_z,pol_x,pol_y,pol_z,weight,concurrent_with_previous,seed,source_note
1333,1333,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.5399673646554138,0.7476321120816106,0.386628335862075,-0.8106736497427189,0.5854982780613617,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1334,1334,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.34922670097469666,0.9012203040740059,-0.25659827523014705,-0.9324401290118515,0.36132451592489784,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1335,1335,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.16983865258715336,0.9629634391708002,0.2094188313111427,-0.9848003689044664,-0.17369004981756098,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1336,1336,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.6389518747194142,0.303794867990884,0.7067171852834395,-0.4293943685790439,0.9031170888830552,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1337,1337,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.10809458520334364,0.6331904153242831,-0.7664107636190785,-0.9857392909235879,-0.1682796788963602,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1338,1338,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.25063490515638487,-0.12041337980217247,-0.9605637731467223,0.0,0.9922342198433817,-0.12438349155653987,1.0,0,24066501,High-energy mono-gamma transport sentinel
1339,1339,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.9756564293008863,-0.042078771392138975,-0.21522989792771097,0.04308862181513337,0.9990712540505169,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1340,1340,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.041598116041104596,0.44491617388425925,-0.8946056086108685,-0.9956576486102962,-0.09309052993627247,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1341,1341,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.6986717709390334,-0.6820080569720235,0.2161544973350316,0.6985216878581723,-0.715588884480307,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1342,1342,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.2754917165374817,-0.9573909029427708,0.08664279013084598,0.9610048167533547,0.2765316296137769,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1343,1343,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7627064832105198,-0.6325297424777936,0.134851567842637,0.6383606495451691,-0.7697374104928705,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1344,1344,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.4512570744554623,-0.29520550632808434,0.842152457567795,0.5474478527687087,-0.8368397985868803,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1345,1345,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7911294322488949,0.5149421515095068,-0.3300739341849055,-0.5455155239904292,-0.8381007177454554,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1346,1346,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.004110967083891413,-0.9912381407322952,0.13202290826677723,0.9999914000407779,0.004147269521635944,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1347,1347,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7117742734842205,0.2402813452476895,0.6600320134144789,-0.31984739019594705,-0.9474690744213458,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
