code,event_id,family,primary_particle,ta_deposit_keV
MEGAlib,1606,cu64_eplus_smoke,eplus,180.11008
MEGAlib,1628,cu64_eplus_smoke,eplus,510.99891
MEGAlib,1649,cu64_eplus_smoke,eplus,76.25718
MEGAlib,1659,cu64_eplus_smoke,eplus,229.42024
MEGAlib,1691,cu64_eplus_smoke,eplus,386.13696
MEGAlib,1754,cu64_eplus_smoke,eplus,215.87543
MEGAlib,1757,cu64_eplus_smoke,eplus,510.99891
MEGAlib,1773,cu64_eplus_smoke,eplus,200.23668
MEGAlib,1809,cu64_eplus_smoke,eplus,394.60626
MEGAlib,1826,cu64_eplus_smoke,eplus,420.24221
MEGAlib,1831,cu64_eplus_smoke,eplus,244.13972
MEGAlib,1892,cu64_eplus_smoke,eplus,60.12492
MEGAlib,1910,cu64_eplus_smoke,eplus,313.52532
MEGAlib,1916,cu64_eplus_smoke,eplus,510.99891
MEGAlib,1928,cu64_eplus_smoke,eplus,170.09023
MEGAlib,1948,cu64_eplus_smoke,eplus,287.55525
MEGAlib,1964,cu64_eplus_smoke,eplus,116.1633
