event_id,detector,x_cm,y_cm,z_cm,deposit_keV,time_s
12481,3,0.0,0.0,3.04437,345.23393,0.0
12502,3,0.0,0.0,3.03803,235.00033,0.0
12553,3,0.0,0.0,2.96009,7.19444,0.0
12570,3,0.0,0.0,2.95545,189.16979,0.0
12631,3,0.0,0.0,2.96352,203.80662,0.0
12634,3,0.0,0.0,3.04891,116.88465,0.0
12705,3,0.0,0.0,2.95462,319.94212,0.0
12745,3,0.0,0.0,2.98447,7.96425,0.0
12746,3,0.0,0.0,2.99263,511.0,0.0
12758,3,0.0,0.0,2.98687,511.0,0.0
12828,3,0.0,0.0,3.0424,498.37396,0.0
12842,3,0.0,0.0,2.95968,511.0,0.0
12905,3,0.0,0.0,2.98535,511.0,0.0
12921,3,0.0,0.0,3.0139,511.0,0.0
12924,3,0.0,0.0,2.97394,18.26369,0.0
12974,3,0.0,0.0,2.95881,173.93351,0.0
13017,3,0.0,0.0,2.96407,5.9626,0.0
13039,3,0.0,0.0,2.95709,321.82848,0.0
13073,3,0.0,0.0,2.99931,419.45167,0.0
13192,3,0.0,0.0,3.00362,362.76006,0.0
13199,3,0.0,0.0,2.96077,258.64729,0.0
13200,3,0.0,0.0,3.02007,222.86321,0.0
13201,3,0.0,0.0,3.03759,131.05147,0.0
13218,3,0.0,0.0,2.99781,198.36727,0.0
13296,3,0.0,0.0,2.972,477.38234,0.0
13373,3,0.0,0.0,2.97731,243.16277,0.0
13374,3,0.0,0.0,3.00206,192.48865,0.0
13398,3,0.0,0.0,3.01609,182.06132,0.0
13404,3,0.0,0.0,2.99851,89.22069,0.0
13419,3,0.0,0.0,2.97834,112.41573,0.0
13486,3,0.0,0.0,3.00678,511.0,0.0
13531,3,0.0,0.0,2.96199,271.56516,0.0
13559,3,0.0,0.0,2.96692,164.8852,0.0
13680,3,0.0,0.0,2.99078,221.0755,0.0
13706,3,0.0,0.0,3.02668,283.19135,0.0
13716,3,0.0,0.0,2.96734,129.71904,0.0
13757,3,0.0,0.0,3.01846,398.8972,0.0
13765,3,0.0,0.0,3.04426,511.0,0.0
13867,3,0.0,0.0,2.993,135.71685,0.0
13885,3,0.0,0.0,2.96689,274.49181,0.0
13966,3,0.0,0.0,2.99524,245.55824,0.0
13990,3,0.0,0.0,2.97459,448.0915,0.0
14007,3,0.0,0.0,2.97915,269.82132,0.0
14026,3,0.0,0.0,2.9688,511.0,0.0
14072,3,0.0,0.0,2.95219,189.03427,0.0
14079,3,0.0,0.0,2.97371,178.8199,0.0
14119,3,0.0,0.0,2.96873,362.70236,0.0
14142,3,0.0,0.0,2.97782,210.07948,0.0
14219,3,0.0,0.0,3.01146,511.0,0.0
14382,3,0.0,0.0,2.99484,252.99946,0.0
14419,3,0.0,0.0,2.97953,461.71448,0.0
14453,3,0.0,0.0,2.95835,116.85239,0.0
14461,3,0.0,0.0,2.97654,400.11697,0.0
14473,3,0.0,0.0,2.97903,130.08403,0.0
14483,3,0.0,0.0,2.97029,274.92889,0.0
14531,3,0.0,0.0,2.97239,179.65551,0.0
14552,3,0.0,0.0,2.98656,187.82832,0.0
14570,3,0.0,0.0,2.99147,131.05841,0.0
14575,3,0.0,0.0,2.95022,219.95218,0.0
14595,3,0.0,0.0,2.97083,511.0,0.0
14613,3,0.0,0.0,3.00752,511.0,0.0
14665,3,0.0,0.0,2.97169,361.30894,0.0
14703,3,0.0,0.0,2.95463,402.94818,0.0
14722,3,0.0,0.0,2.97782,198.81839,0.0
14731,3,0.0,0.0,3.02998,216.78076,0.0
14743,3,0.0,0.0,3.04297,443.8964,0.0
14757,3,0.0,0.0,3.03507,511.0,0.0
14773,3,0.0,0.0,3.02105,316.90925,0.0
14787,3,0.0,0.0,2.99653,203.01577,0.0
14792,3,0.0,0.0,3.03742,323.26477,0.0
14861,3,0.0,0.0,2.95974,203.4791,0.0
14892,3,0.0,0.0,2.99713,511.0,0.0
14933,3,0.0,0.0,3.0251,204.38992,0.0
15001,3,0.0,0.0,3.00563,290.07694,0.0
15017,3,0.0,0.0,2.96978,102.32372,0.0
15059,3,0.0,0.0,2.96826,298.57052,0.0
15074,3,0.0,0.0,2.95077,238.77276,0.0
15098,3,0.0,0.0,2.9949,511.0,0.0
15164,3,0.0,0.0,3.00064,256.69965,0.0
15165,3,0.0,0.0,2.95711,168.64572,0.0
15183,3,0.0,0.0,2.97801,108.01694,0.0
15212,3,0.0,0.0,2.98796,139.02221,0.0
15282,3,0.0,0.0,3.03986,226.15929,0.0
15284,3,0.0,0.0,2.97807,146.87654,0.0
15329,3,0.0,0.0,2.97305,148.52108,0.0
15335,3,0.0,0.0,3.03326,511.0,0.0
15369,3,0.0,0.0,2.9786,340.13976,0.0
15382,3,0.0,0.0,3.04641,331.17614,0.0
15383,3,0.0,0.0,2.97737,234.86453,0.0
15421,3,0.0,0.0,2.97924,165.53074,0.0
15448,3,0.0,0.0,2.97137,453.3142,0.0
15461,3,0.0,0.0,3.03621,282.65896,0.0
15507,3,0.0,0.0,2.98742,171.22551,0.0
15550,3,0.0,0.0,3.04211,185.65008,0.0
15585,3,0.0,0.0,2.99387,339.13884,0.0
15689,3,0.0,0.0,2.99602,102.23802,0.0
15698,3,0.0,0.0,2.95512,219.18788,0.0
15733,3,0.0,0.0,2.96934,222.29243,0.0
15749,3,0.0,0.0,3.02678,240.78708,0.0
15773,3,0.0,0.0,2.9682,219.31849,0.0
15824,3,0.0,0.0,3.01054,511.0,0.0
15834,3,0.0,0.0,2.96896,305.83403,0.0
