primary_id,source_event_id,pair_id,pair_member,family,particle,fluka_particle_code,megalib_particle_code,kinetic_energy_keV,x_cm,y_cm,z_cm,dir_x,dir_y,dir_z,pol_x,pol_y,pol_z,weight,concurrent_with_previous,seed,source_note
42,42,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.012631955688398306,-0.9282588404840285,0.3717202695021262,0.9999074209563279,0.013606965733215971,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
43,43,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.18559034282808307,-0.7869131824728236,0.5884928783761509,0.9732972736920388,0.22954828908890768,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
44,44,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.4854336480777758,-0.32119720714290345,0.8131337697067444,0.5518123609610076,-0.8339682957346992,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
45,45,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.31173880797487924,-0.942597908836933,-0.11970003282640485,0.9494241701012947,-0.3139964095773515,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
46,46,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.27036097537590903,-0.17221377917557767,-0.947231416949339,0.0,0.9838717591159382,-0.17887526831317221,1.0,0,24066701,T0 monoenergetic 511 keV photon
47,47,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.578728409908756,0.5338158011491747,-0.6165339552757396,-0.6780091459015157,-0.7350534661328365,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
48,48,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.14585821511221123,0.958189743681693,0.24616619627294778,-0.9886116650456792,-0.15048912165206366,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
49,49,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.45531782484470823,-0.7929114406237484,-0.4049408916208088,0.8671926814377505,-0.49797274349185433,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
50,50,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.4586214110689877,0.21562415629349901,-0.862074604968623,-0.4254776542635336,0.9049689308050309,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
100001,100001,pair511_000001,1,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.6880416016065601,-0.32725877683238935,0.6476885420052204,0.4295268906710348,0.9030540682542064,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
100002,100002,pair511_000001,2,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6880416016065601,0.32725877683238935,-0.6476885420052204,-0.4295268906710348,-0.9030540682542064,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
100003,100003,pair511_000002,1,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.4619185469398775,-0.29964928873292496,-0.8347703634861532,0.5442249137267546,0.8389393561391112,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
100004,100004,pair511_000002,2,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.4619185469398775,0.29964928873292496,0.8347703634861532,-0.5442249137267546,-0.8389393561391112,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
100005,100005,pair511_000003,1,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.7795643902570314,-0.19421813982632077,0.5954482980121673,0.24174717426623749,-0.970339272488901,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
100006,100006,pair511_000003,2,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.7795643902570314,0.19421813982632077,-0.5954482980121673,-0.24174717426623749,0.970339272488901,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
100007,100007,pair511_000004,1,pair511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.33839780340601583,-0.6889234040667055,-0.640992566243265,0.8975650043736643,-0.44088214176092894,0.0,1.0,0,24066701,Back-to-back pair row; T0 transports rows independently
