code,event_id,family,primary_particle,ta_deposit_keV
FLUKA,8565,mono511_gamma,gamma,75.4749598
FLUKA,8582,mono511_gamma,gamma,171.387714
FLUKA,8679,mono511_gamma,gamma,248.108385
FLUKA,8711,mono511_gamma,gamma,42.4019784
FLUKA,8729,mono511_gamma,gamma,285.727519
FLUKA,8754,mono511_gamma,gamma,167.757916
FLUKA,8777,mono511_gamma,gamma,137.864734
FLUKA,8794,mono511_gamma,gamma,511.0
FLUKA,8877,mono511_gamma,gamma,298.199021
FLUKA,8915,mono511_gamma,gamma,398.464507
FLUKA,8944,mono511_gamma,gamma,511.0
FLUKA,8979,mono511_gamma,gamma,197.256899
FLUKA,8980,mono511_gamma,gamma,170.624439
FLUKA,8987,mono511_gamma,gamma,328.511499
FLUKA,9008,mono511_gamma,gamma,146.211192
FLUKA,9053,mono511_gamma,gamma,339.379775
FLUKA,9071,mono511_gamma,gamma,123.760384
FLUKA,9073,mono511_gamma,gamma,252.839422
FLUKA,9075,mono511_gamma,gamma,10.9054113
FLUKA,9076,mono511_gamma,gamma,511.0
FLUKA,9081,mono511_gamma,gamma,334.230872
FLUKA,9095,mono511_gamma,gamma,511.0
FLUKA,9131,mono511_gamma,gamma,223.882712
FLUKA,9176,mono511_gamma,gamma,511.0
FLUKA,9333,mono511_gamma,gamma,398.959159
FLUKA,9341,mono511_gamma,gamma,186.00734
FLUKA,9355,mono511_gamma,gamma,151.304133
FLUKA,9356,mono511_gamma,gamma,204.283788
FLUKA,9364,mono511_gamma,gamma,290.674981
FLUKA,9391,mono511_gamma,gamma,303.618502
FLUKA,9407,mono511_gamma,gamma,262.578887
FLUKA,9515,mono511_gamma,gamma,418.874764
FLUKA,9529,mono511_gamma,gamma,192.260512
FLUKA,9545,mono511_gamma,gamma,511.0
FLUKA,9577,mono511_gamma,gamma,340.724699
FLUKA,9668,mono511_gamma,gamma,20.3932635
FLUKA,9703,mono511_gamma,gamma,310.955198
FLUKA,9726,mono511_gamma,gamma,454.598
FLUKA,9773,mono511_gamma,gamma,49.3611363
FLUKA,9845,mono511_gamma,gamma,252.061929
FLUKA,9875,mono511_gamma,gamma,165.466207
FLUKA,9880,mono511_gamma,gamma,184.384557
FLUKA,9916,mono511_gamma,gamma,17.0732024
FLUKA,9927,mono511_gamma,gamma,511.0
FLUKA,9969,mono511_gamma,gamma,245.067773
FLUKA,10033,mono511_gamma,gamma,500.555101
FLUKA,10039,mono511_gamma,gamma,197.480218
FLUKA,10126,mono511_gamma,gamma,158.581703
FLUKA,10142,mono511_gamma,gamma,511.0
FLUKA,10158,mono511_gamma,gamma,511.0
FLUKA,10176,mono511_gamma,gamma,202.322952
FLUKA,10192,mono511_gamma,gamma,292.860473
FLUKA,10294,mono511_gamma,gamma,218.912058
FLUKA,10333,mono511_gamma,gamma,511.0
FLUKA,10377,mono511_gamma,gamma,499.808375
FLUKA,10399,mono511_gamma,gamma,128.919557
FLUKA,10428,mono511_gamma,gamma,344.212953
FLUKA,10484,mono511_gamma,gamma,246.691139
FLUKA,10505,mono511_gamma,gamma,205.237686
FLUKA,10547,mono511_gamma,gamma,200.587348
FLUKA,10608,mono511_gamma,gamma,298.585656
FLUKA,10644,mono511_gamma,gamma,511.0
FLUKA,10670,mono511_gamma,gamma,298.476455
FLUKA,10674,mono511_gamma,gamma,111.390741
FLUKA,10755,mono511_gamma,gamma,150.588245
FLUKA,10912,mono511_gamma,gamma,497.755661
FLUKA,10924,mono511_gamma,gamma,473.851484
FLUKA,10942,mono511_gamma,gamma,511.0
FLUKA,10980,mono511_gamma,gamma,31.379369
FLUKA,10997,mono511_gamma,gamma,216.678339
FLUKA,11002,mono511_gamma,gamma,233.560672
FLUKA,11005,mono511_gamma,gamma,488.868155
FLUKA,11006,mono511_gamma,gamma,511.0
FLUKA,11009,mono511_gamma,gamma,85.5344507
FLUKA,11110,mono511_gamma,gamma,170.459032
FLUKA,11128,mono511_gamma,gamma,163.909583
FLUKA,11134,mono511_gamma,gamma,162.858266
FLUKA,11141,mono511_gamma,gamma,310.235064
