code,primary_id,family,particle,expected_particle_code,observed_particle_code,expected_energy_keV,observed_energy_keV,energy_delta_keV,energy_rel_delta,expected_dir_x,expected_dir_y,expected_dir_z,observed_dir_x,observed_dir_y,observed_dir_z,direction_dot,expected_weight,observed_weight,status
FLUKA,78,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.6291017659496931,-0.5971675131276283,0.4976162470658907,0.6291017660486644,-0.5971675130461942,0.49761624703849333,1.0,1.0,1.0,PASS
FLUKA,79,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.5817765744458071,-0.7511842605401693,-0.311862508395641,-0.5817765740217167,-0.7511842610280404,-0.3118625080116412,1.0,1.0,1.0,PASS
FLUKA,80,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.12637788933239397,0.8778340523810524,-0.46199134793646196,0.1263778890438726,0.8778340523047435,-0.4619913481603822,1.0,1.0,1.0,PASS
FLUKA,81,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.742543515677636,0.6097972081113571,0.2770857129205522,-0.7425435158563343,0.6097972078820177,0.27708571294639006,1.0,1.0,1.0,PASS
FLUKA,82,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.7573149861162219,0.06045483649704271,-0.650245510978663,-0.7573149860560137,0.06045483650447145,-0.6502455110480945,1.0000000000000002,1.0,1.0,PASS
FLUKA,83,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.2794710662410665,-0.4899618655829275,-0.8257319743164719,-0.27947106603475014,-0.4899618660609231,-0.8257319741026736,1.0,1.0,1.0,PASS
FLUKA,84,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.685322802917092,-0.27619125244518244,-0.6738331009045359,0.6853228030012403,-0.2761912520004998,-0.6738331010012194,1.0,1.0,1.0,PASS
FLUKA,85,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.663458692032285,0.7481683880674361,0.008162540253139118,-0.663458692047702,0.7481683880537926,0.008162540250586879,1.0000000000000002,1.0,1.0,PASS
FLUKA,86,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.32009154482868446,-0.7978764947899316,0.5108174840301754,-0.3200915449337311,-0.7978764948348148,0.510817483894245,1.0,1.0,1.0,PASS
FLUKA,87,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.9482273867670896,0.31630228600215354,-0.028595224333235247,0.9482273867921291,0.31630228593066007,-0.028595224293731344,0.9999999999999999,1.0,1.0,PASS
