event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
83,11,24,0,7,1.36862602E+03,2.60740177E+05,1.97371917E-01,-6.76432820E-01,7.09565337E-01,1.97371917E-01,-6.76432820E-01,7.09565337E-01,1.00000000E+00,2,2,11024
84,11,24,0,3,9.75589308E+02,4.96305017E+03,4.20804457E-01,7.37823238E-01,5.27769343E-01,4.20804457E-01,7.37823238E-01,5.27769343E-01,1.00000000E+00,2,2,11024
84,11,24,0,7,2.75400700E+03,4.96305017E+03,4.64411160E-01,7.36171181E-01,-4.92315211E-01,4.64411160E-01,7.36171181E-01,-4.92315211E-01,1.00000000E+00,2,2,11024
84,11,24,0,7,1.36862602E+03,4.96305017E+03,-6.59831522E-01,7.19580321E-01,-2.16394372E-01,-6.59831522E-01,7.19580321E-01,-2.16394372E-01,1.00000000E+00,2,2,11024
85,11,24,0,3,7.59553070E+02,7.32640572E+04,-6.26756159E-01,3.39798460E-01,-7.01223020E-01,-6.26756159E-01,3.39798460E-01,-7.01223020E-01,1.00000000E+00,2,2,11024
85,11,24,0,7,2.75400700E+03,7.32640572E+04,8.85526225E-01,-1.32013849E-01,-4.45438715E-01,8.85526225E-01,-1.32013849E-01,-4.45438715E-01,1.00000000E+00,2,2,11024
85,11,24,0,7,1.36862602E+03,7.32640572E+04,6.75413859E-01,5.78417464E-01,4.57437818E-01,6.75413859E-01,5.78417464E-01,4.57437818E-01,1.00000000E+00,2,2,11024
86,11,24,0,3,8.03503961E+02,1.24174143E+05,-8.14250054E-02,-9.81522372E-01,1.73158316E-01,-8.14250054E-02,-9.81522372E-01,1.73158316E-01,1.00000000E+00,2,2,11024
86,11,24,0,7,2.75400700E+03,1.24174143E+05,-1.31801039E-01,-9.84825144E-01,-1.12906699E-01,-1.31801039E-01,-9.84825144E-01,-1.12906699E-01,1.00000000E+00,2,2,11024
86,11,24,0,7,1.36862602E+03,1.24174143E+05,1.24192227E-01,1.52633463E-02,-9.92140777E-01,1.24192227E-01,1.52633463E-02,-9.92140777E-01,1.00000000E+00,2,2,11024
87,11,24,0,3,3.62507514E+02,1.95172849E+05,-7.14785862E-01,3.24201536E-01,-6.19656788E-01,-7.14785862E-01,3.24201536E-01,-6.19656788E-01,1.00000000E+00,2,2,11024
87,11,24,0,7,2.75400700E+03,1.95172849E+05,8.89320192E-01,1.99962239E-01,-4.11247735E-01,8.89320192E-01,1.99962239E-01,-4.11247735E-01,1.00000000E+00,2,2,11024
87,11,24,0,7,1.36862602E+03,1.95172849E+05,8.64187894E-02,1.34136903E-01,9.87187461E-01,8.64187894E-02,1.34136903E-01,9.87187461E-01,1.00000000E+00,2,2,11024
88,11,24,0,3,8.20731107E+02,1.35757345E+05,4.56382097E-01,-3.63089544E-01,-8.12330822E-01,4.56382097E-01,-3.63089544E-01,-8.12330822E-01,1.00000000E+00,2,2,11024
88,11,24,0,7,2.75400700E+03,1.35757345E+05,4.08067064E-01,8.47388845E-01,3.39725502E-01,4.08067064E-01,8.47388845E-01,3.39725502E-01,1.00000000E+00,2,2,11024
88,11,24,0,7,1.36862602E+03,1.35757345E+05,-6.12600330E-01,-6.20115365E-01,4.90079350E-01,-6.12600330E-01,-6.20115365E-01,4.90079350E-01,1.00000000E+00,2,2,11024
89,11,24,0,3,3.12737709E+02,1.14640119E+05,7.11539398E-02,4.72912458E-01,-8.78231703E-01,7.11539398E-02,4.72912458E-01,-8.78231703E-01,1.00000000E+00,2,2,11024
89,11,24,0,7,2.75400700E+03,1.14640119E+05,-3.46672930E-01,-7.86484784E-01,-5.11135564E-01,-3.46672930E-01,-7.86484784E-01,-5.11135564E-01,1.00000000E+00,2,2,11024
89,11,24,0,7,1.36862602E+03,1.14640119E+05,-9.84241473E-01,9.89340451E-02,-1.46563223E-01,-9.84241473E-01,9.89340451E-02,-1.46563223E-01,1.00000000E+00,2,2,11024
90,11,24,0,3,1.55544047E+02,7.71228670E+04,2.91976937E-01,-2.28047591E-01,-9.28840010E-01,2.91976937E-01,-2.28047591E-01,-9.28840010E-01,1.00000000E+00,2,2,11024
90,11,24,0,7,2.75400700E+03,7.71228670E+04,-2.07578771E-01,9.16365835E-01,3.42322524E-01,-2.07578771E-01,9.16365835E-01,3.42322524E-01,1.00000000E+00,2,2,11024
90,11,24,0,7,1.36862602E+03,7.71228670E+04,-5.42518795E-01,-3.09098023E-01,7.81109320E-01,-5.42518795E-01,-3.09098023E-01,7.81109320E-01,1.00000000E+00,2,2,11024
91,11,24,0,3,7.07689190E+02,7.17368135E+04,-6.02539572E-01,-7.97860449E-01,-1.90989217E-02,-6.02539572E-01,-7.97860449E-01,-1.90989217E-02,1.00000000E+00,2,2,11024
91,11,24,0,7,2.75400700E+03,7.17368135E+04,-3.05162005E-01,6.04630005E-01,7.35730051E-01,-3.05162005E-01,6.04630005E-01,7.35730051E-01,1.00000000E+00,2,2,11024
91,11,24,0,7,1.36862602E+03,7.17368135E+04,7.99458743E-01,-1.44070141E-01,5.83189088E-01,7.99458743E-01,-1.44070141E-01,5.83189088E-01,1.00000000E+00,2,2,11024
92,11,24,0,3,3.48678585E+02,6.20044550E+03,6.51297855E-01,-5.81152152E-01,-4.87927536E-01,6.51297855E-01,-5.81152152E-01,-4.87927536E-01,1.00000000E+00,2,2,11024
92,11,24,0,7,2.75400700E+03,6.20044550E+03,4.76935667E-01,7.82089223E-01,4.01084551E-01,4.76935667E-01,7.82089223E-01,4.01084551E-01,1.00000000E+00,2,2,11024
92,11,24,0,7,1.36862602E+03,6.20044550E+03,1.54546074E-01,-8.45205538E-01,5.11608355E-01,1.54546074E-01,-8.45205538E-01,5.11608355E-01,1.00000000E+00,2,2,11024
93,11,24,0,3,6.42193441E+02,3.89844318E+05,-7.29732329E-01,-1.44696855E-01,-6.68246622E-01,-7.29732329E-01,-1.44696855E-01,-6.68246622E-01,1.00000000E+00,2,2,11024
93,11,24,0,7,2.75400700E+03,3.89844318E+05,6.30683263E-01,6.81153347E-01,-3.71845046E-01,6.30683263E-01,6.81153347E-01,-3.71845046E-01,1.00000000E+00,2,2,11024
93,11,24,0,7,1.36862602E+03,3.89844318E+05,-4.60622409E-01,-5.84671604E-01,-6.67821916E-01,-4.60622409E-01,-5.84671604E-01,-6.67821916E-01,1.00000000E+00,2,2,11024
94,11,24,0,3,8.71831012E+02,4.42726687E+04,-9.19841180E-01,3.87303374E-01,-6.23562346E-02,-9.19841180E-01,3.87303374E-01,-6.23562346E-02,1.00000000E+00,2,2,11024
94,11,24,0,7,2.75400700E+03,4.42726687E+04,2.33438701E-01,-9.60721538E-01,-1.50068313E-01,2.33438701E-01,-9.60721538E-01,-1.50068313E-01,1.00000000E+00,2,2,11024
94,11,24,0,7,1.36862602E+03,4.42726687E+04,2.10004050E-01,1.63496331E-01,-9.63933218E-01,2.10004050E-01,1.63496331E-01,-9.63933218E-01,1.00000000E+00,2,2,11024
95,11,24,0,3,4.84585742E+02,2.21537821E+04,-2.97081799E-01,-7.36712097E-01,6.07451801E-01,-2.97081799E-01,-7.36712097E-01,6.07451801E-01,1.00000000E+00,2,2,11024
95,11,24,0,7,2.75400700E+03,2.21537821E+04,-2.74483564E-01,9.61463356E-01,1.57158644E-02,-2.74483564E-01,9.61463356E-01,1.57158644E-02,1.00000000E+00,2,2,11024
95,11,24,0,7,1.36862602E+03,2.21537821E+04,-6.05367747E-01,6.51856408E-01,-4.56741847E-01,-6.05367747E-01,6.51856408E-01,-4.56741847E-01,1.00000000E+00,2,2,11024
96,11,24,0,3,9.31294535E+02,4.14777995E+03,3.96897823E-01,-4.21201454E-02,-9.16895857E-01,3.96897823E-01,-4.21201454E-02,-9.16895857E-01,1.00000000E+00,2,2,11024
96,11,24,0,7,2.75400700E+03,4.14777995E+03,-7.91833977E-01,4.61848865E-01,-3.99618040E-01,-7.91833977E-01,4.61848865E-01,-3.99618040E-01,1.00000000E+00,2,2,11024
96,11,24,0,7,1.36862602E+03,4.14777995E+03,9.73354598E-01,5.20528077E-02,-2.23318901E-01,9.73354598E-01,5.20528077E-02,-2.23318901E-01,1.00000000E+00,2,2,11024
97,11,24,0,3,8.32058566E+02,1.69671738E+05,-5.58527679E-02,-3.43453703E-01,-9.37507345E-01,-5.58527679E-02,-3.43453703E-01,-9.37507345E-01,1.00000000E+00,2,2,11024
97,11,24,0,7,2.75400700E+03,1.69671738E+05,-2.03346802E-01,8.32179201E-01,5.15875815E-01,-2.03346802E-01,8.32179201E-01,5.15875815E-01,1.00000000E+00,2,2,11024
97,11,24,0,7,1.36862602E+03,1.69671738E+05,7.08288340E-01,-5.78381632E-01,-4.04724987E-01,7.08288340E-01,-5.78381632E-01,-4.04724987E-01,1.00000000E+00,2,2,11024
98,11,24,0,3,2.67077702E+02,6.19390542E+04,6.88332873E-01,4.03814965E-01,-6.02603792E-01,6.88332873E-01,4.03814965E-01,-6.02603792E-01,1.00000000E+00,2,2,11024
98,11,24,0,7,2.75400700E+03,6.19390542E+04,3.03165975E-02,5.39476957E-01,8.41454406E-01,3.03165975E-02,5.39476957E-01,8.41454406E-01,1.00000000E+00,2,2,11024
98,11,24,0,7,1.36862602E+03,6.19390542E+04,9.18942514E-01,3.12939118E-01,2.40028673E-01,9.18942514E-01,3.12939118E-01,2.40028673E-01,1.00000000E+00,2,2,11024
99,11,24,0,3,2.42977885E+02,1.46284128E+05,-6.57834472E-01,-2.29013145E-01,7.17500375E-01,-6.57834472E-01,-2.29013145E-01,7.17500375E-01,1.00000000E+00,2,2,11024
99,11,24,0,7,2.75400700E+03,1.46284128E+05,2.24871711E-01,-9.58239641E-01,1.76662116E-01,2.24871711E-01,-9.58239641E-01,1.76662116E-01,1.00000000E+00,2,2,11024
99,11,24,0,7,1.36862602E+03,1.46284128E+05,3.29583623E-01,-6.17854441E-01,7.13884112E-01,3.29583623E-01,-6.17854441E-01,7.13884112E-01,1.00000000E+00,2,2,11024
100,11,24,0,3,3.68533445E+02,7.34476856E+04,-2.79187987E-01,-8.42286300E-01,-4.61094195E-01,-2.79187987E-01,-8.42286300E-01,-4.61094195E-01,1.00000000E+00,2,2,11024
100,11,24,0,7,2.75400700E+03,7.34476856E+04,3.37133756E-01,8.65759375E-01,-3.69866915E-01,3.37133756E-01,8.65759375E-01,-3.69866915E-01,1.00000000E+00,2,2,11024
100,11,24,0,7,1.36862602E+03,7.34476856E+04,-2.79109873E-01,9.47061240E-01,-1.58659024E-01,-2.79109873E-01,9.47061240E-01,-1.58659024E-01,1.00000000E+00,2,2,11024
101,11,24,0,3,2.24880501E+02,5.54270662E+04,-7.02826927E-01,7.00030251E-01,1.26459314E-01,-7.02826927E-01,7.00030251E-01,1.26459314E-01,1.00000000E+00,2,2,11024
101,11,24,0,7,2.75400700E+03,5.54270662E+04,1.81714687E-01,1.98204090E-01,-9.63169202E-01,1.81714687E-01,1.98204090E-01,-9.63169202E-01,1.00000000E+00,2,2,11024
101,11,24,0,7,1.36862602E+03,5.54270662E+04,4.92063190E-01,-6.49368276E-01,-5.79822955E-01,4.92063190E-01,-6.49368276E-01,-5.79822955E-01,1.00000000E+00,2,2,11024
102,11,24,0,3,3.26194387E+02,9.31274129E+03,4.91326536E-01,1.25822542E-01,-8.61839267E-01,4.91326536E-01,1.25822542E-01,-8.61839267E-01,1.00000000E+00,2,2,11024
102,11,24,0,7,2.75400700E+03,9.31274129E+03,5.33655094E-01,5.56499927E-01,6.36804579E-01,5.33655094E-01,5.56499927E-01,6.36804579E-01,1.00000000E+00,2,2,11024
102,11,24,0,7,1.36862602E+03,9.31274129E+03,-7.81273467E-01,5.23535663E-01,3.39885539E-01,-7.81273467E-01,5.23535663E-01,3.39885539E-01,1.00000000E+00,2,2,11024
103,11,24,0,3,4.41738906E+02,5.24197605E+04,-9.82757459E-01,4.06269385E-02,-1.80380788E-01,-9.82757459E-01,4.06269385E-02,-1.80380788E-01,1.00000000E+00,2,2,11024
103,11,24,0,7,2.75400700E+03,5.24197605E+04,-4.86352543E-01,-8.06198517E-01,3.36905262E-01,-4.86352543E-01,-8.06198517E-01,3.36905262E-01,1.00000000E+00,2,2,11024
103,11,24,0,7,1.36862602E+03,5.24197605E+04,8.40529364E-01,5.39492309E-01,4.95826232E-02,8.40529364E-01,5.39492309E-01,4.95826232E-02,1.00000000E+00,2,2,11024
104,11,24,0,3,4.92708440E+02,5.31924263E+04,2.72791858E-01,5.90427861E-01,-7.59591695E-01,2.72791858E-01,5.90427861E-01,-7.59591695E-01,1.00000000E+00,2,2,11024
104,11,24,0,7,2.75400700E+03,5.31924263E+04,-9.08844639E-01,4.16442806E-01,2.40169001E-02,-9.08844639E-01,4.16442806E-01,2.40169001E-02,1.00000000E+00,2,2,11024
104,11,24,0,7,1.36862602E+03,5.31924263E+04,7.79727081E-01,-2.55142872E-01,5.71776000E-01,7.79727081E-01,-2.55142872E-01,5.71776000E-01,1.00000000E+00,2,2,11024
105,11,24,0,3,6.63622867E+02,1.89681355E+05,4.02886052E-01,-9.10610916E-01,9.20358027E-02,4.02886052E-01,-9.10610916E-01,9.20358027E-02,1.00000000E+00,2,2,11024
105,11,24,0,7,2.75400700E+03,1.89681355E+05,5.63704535E-01,4.84336735E-01,6.69070343E-01,5.63704535E-01,4.84336735E-01,6.69070343E-01,1.00000000E+00,2,2,11024
105,11,24,0,7,1.36862602E+03,1.89681355E+05,2.46353248E-01,-9.55483353E-01,-1.62362676E-01,2.46353248E-01,-9.55483353E-01,-1.62362676E-01,1.00000000E+00,2,2,11024
106,11,24,0,3,6.65377865E+02,5.04395635E+04,1.16244190E-01,-1.15663332E-02,9.93153316E-01,1.16244190E-01,-1.15663332E-02,9.93153316E-01,1.00000000E+00,2,2,11024
106,11,24,0,7,2.75400700E+03,5.04395635E+04,-3.95979104E-01,-3.41230451E-01,-8.52503565E-01,-3.95979104E-01,-3.41230451E-01,-8.52503565E-01,1.00000000E+00,2,2,11024
106,11,24,0,7,1.36862602E+03,5.04395635E+04,9.16887096E-01,1.44832901E-01,-3.71942850E-01,9.16887096E-01,1.44832901E-01,-3.71942850E-01,1.00000000E+00,2,2,11024
107,11,24,0,3,3.65645057E+02,8.42916194E+04,-5.53224915E-01,2.97004127E-01,7.78287056E-01,-5.53224915E-01,2.97004127E-01,7.78287056E-01,1.00000000E+00,2,2,11024
107,11,24,0,7,2.75400700E+03,8.42916194E+04,2.49473732E-01,-4.08532142E-01,8.77988807E-01,2.49473732E-01,-4.08532142E-01,8.77988807E-01,1.00000000E+00,2,2,11024
107,11,24,0,7,1.36862602E+03,8.42916194E+04,-6.77039802E-01,4.86840075E-01,5.51909275E-01,-6.77039802E-01,4.86840075E-01,5.51909275E-01,1.00000000E+00,2,2,11024
108,11,24,0,3,8.55776122E+02,1.52390370E+04,-6.89700036E-01,6.74664859E-01,-2.62947121E-01,-6.89700036E-01,6.74664859E-01,-2.62947121E-01,1.00000000E+00,2,2,11024
108,11,24,0,7,2.75400700E+03,1.52390370E+04,-1.82826012E-02,-9.99203343E-01,-3.54742870E-02,-1.82826012E-02,-9.99203343E-01,-3.54742870E-02,1.00000000E+00,2,2,11024
