code,stream,source_tag,band,band_label,stage,stage_label,events,rate_s-1,mc_sigma_s-1,side_compton_class_counts
FLUKA,delayed,Cu-62,all_tes_gt0,all TES > 0,raw,raw,5,0.00339366599121728,0.0015176935844004788,{}
FLUKA,delayed,Cu-62,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""keep"": 1, ""single"": 1, ""veto"": 1}"
FLUKA,delayed,Cu-62,e100_300,100-300 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Cu-62,e100_300,100-300 keV,raw,raw,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Cu-62,e100_300,100-300 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""keep"": 1, ""single"": 1}"
FLUKA,delayed,Cu-62,e300_480,300-480 keV,raw,raw,2,0.0013573254580626015,0.0009597740500455373,{}
FLUKA,delayed,Cu-62,e480_550,480-550 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cu-62,e480_550,480-550 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cu-62,e480_550,480-550 keV,side_compton_fov_pass,final,0,0.0,0.0,"{""veto"": 1}"
FLUKA,delayed,Cu-62,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cu-62,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cu-62,w2_510p58_511p42,W2 510.58-511.42 keV,side_compton_fov_pass,final,0,0.0,0.0,"{""veto"": 1}"
FLUKA,delayed,Cu-64,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,25,0.016969504393204382,0.0033939008786408754,{}
FLUKA,delayed,Cu-64,all_tes_gt0,all TES > 0,raw,raw,37,0.025114866501942487,0.004128858619228585,{}
