dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,w2_expected,W2 analytic Gaussian expectation,raw,4708,0.004708,73.81673021042891,163.55710038103143,7.381673021042892e-05,0.00016355710038103144,-8.974037017060252e-05,-0.34409103822183795,-5.832755527493447,0.015678999619887196,0.034740250718146015,0.45132085393089927
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,w2_expected,W2 analytic Gaussian expectation,raw,26299,0.026299,131.64354779906114,76.79205349588993,0.00013164354779906113,7.679205349588993e-05,5.4851494303171196e-05,0.21031680153443574,3.8044309577328415,0.005005648420056319,0.002919960967941364,1.7142860726612419
source_volume,ColdPlate_CP_100mK_intercept,w2_expected,W2 analytic Gaussian expectation,raw,95876,0.095876,88.2248715480259,41.886574513419326,8.82248715480259e-05,4.1886574513419326e-05,4.6338297034606576e-05,0.17767469318165216,4.071775492502371,0.0009201976672788383,0.00043688279145374573,2.106280414975472
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,w2_expected,W2 analytic Gaussian expectation,raw,31280,0.03128,149.52375282372273,106.79959315581334,0.00014952375282372272,0.00010679959315581334,4.272415966790938e-05,0.16381702492801084,2.6729646230988804,0.004780171126078092,0.0034143092441116796,1.400040472116572
source_volume,ColdPlate_Still_0p7K,w2_expected,W2 analytic Gaussian expectation,raw,188826,0.188826,46.87308141330214,21.940586688486107,4.6873081413302135e-05,2.1940586688486106e-05,2.493249472481603e-05,0.09559853585418797,3.0096470854727277,0.00024823425488705017,0.00011619473318550468,2.1363640853733417
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,w2_expected,W2 analytic Gaussian expectation,raw,26982,0.026982,89.75696440845081,113.69213274584645,8.975696440845082e-05,0.00011369213274584646,-2.393516833739564e-05,-0.0917744924338062,-1.6803347274330678,0.0033265497149377664,0.004213628817205784,0.7894738381687182
source_volume,DR_MixingChamber_Cu,w2_expected,W2 analytic Gaussian expectation,raw,14457,0.014457,38.89468457699541,16.954089569239688,3.889468457699541e-05,1.6954089569239687e-05,2.1940595007755723e-05,0.08412671020936634,2.939874353053042,0.0026903703795390058,0.0011727252935767923,2.2941181487894933
source_volume,DR_Continuous_HEX_CuNi_MXC_to_CP,w2_expected,W2 analytic Gaussian expectation,raw,9197,0.009197,29.918988136150332,11.967592735307804,2.991898813615033e-05,1.1967592735307804e-05,1.7951395400842525e-05,0.06883094274364925,2.7774608561264835,0.0032531247293846183,0.0013012496178436233,2.5000005262445812
source_volume,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,w2_expected,W2 analytic Gaussian expectation,raw,277,0.000277,1.994599209076688,15.956790251883149,1.994599209076688e-06,1.595679025188315e-05,-1.396219104280646e-05,-0.05353515706072628,-3.2998314658800587,0.007200719166341834,0.05760574098152761,0.12500002679682365
source_volume,DR_Continuous_HEX_CuNi_CP_to_Still,w2_expected,W2 analytic Gaussian expectation,raw,13913,0.013913,16.954093277151852,3.9891975605444294,1.6954093277151852e-05,3.989197560544429e-06,1.2964895716607422e-05,0.04971123273822524,2.8368328768859956,0.0012185792623554841,0.0002867244706781017,4.250000913676992
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,w2_expected,W2 analytic Gaussian expectation,raw,407,0.000407,4.989501906431377,16.954089389177195,4.989501906431377e-06,1.6954089389177196e-05,-1.196458748274582e-05,-0.04587575603942235,-2.5577655267099395,0.012259218443320336,0.041656239285447656,0.29429489204041076
source_volume,DR_Still_Pot_Cu,w2_expected,W2 analytic Gaussian expectation,raw,28450,0.02845,11.967595254460129,0.9972994272778466,1.1967595254460129e-05,9.972994272778466e-07,1.0970295827182282e-05,0.04206334867573796,3.0508511702473786,0.0004206536117560678,3.505446141574153e-05,12.000002132885983
source_volume,Cu_SubstrateSupport_OpenRing_L2_YM_panel,w2_expected,W2 analytic Gaussian expectation,raw,283,0.000283,2.991898813615032,12.964892382789879,2.9918988136150322e-06,1.296489238278988e-05,-9.972993569174846e-06,-0.038239397774639756,-2.4999997672268197,0.010572080613480679,0.04581234057522925,0.23076927484462573
source_volume,Cu_SubstrateSupport_OpenRing_L5_YP_panel,w2_expected,W2 analytic Gaussian expectation,raw,432,0.000432,12.964894858998473,22.937885923735518,1.2964894858998474e-05,2.293788592373552e-05,-9.972991064737046e-06,-0.03823938817188682,-1.6666660655209904,0.030011330692126095,0.05309695815679518,0.5652175140335293
source_volume,Cu_ColdFinger_Stem_YP_ZP_to_MXC,w2_expected,W2 analytic Gaussian expectation,raw,158,0.000158,9.97299604538344,0.9972993223314635,9.972996045383439e-06,9.972993223314635e-07,8.975696723051976e-06,0.034415467624302615,2.7136022563252693,0.06312022813533823,0.006312021027414325,10.000002829710944
source_volume,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,w2_expected,W2 analytic Gaussian expectation,raw,298,0.000298,5.9837976272300635,13.962191507778487,5.983797627230064e-06,1.3962191507778487e-05,-7.978393880548424e-06,-0.030591514482073968,-1.7888539843694118,0.020079857809496858,0.046852991636840556,0.42857151929884546
source_volume,Cu_50mK_StillLike_Can_side_wall_below_side_port,w2_expected,W2 analytic Gaussian expectation,raw,17795,0.017795,45.8757818087638,52.856867943390334,4.5875781808763796e-05,5.285686794339033e-05,-6.981086134626537e-06,-0.026767542538693706,-0.7035254314301459,0.002578015274445844,0.0029703213230340172,0.8679247105200543
source_volume,Cu_SubstrateSupport_OpenRing_L4_YP_panel,w2_expected,W2 analytic Gaussian expectation,raw,304,0.000304,6.9820274339138075,13.962191158955864,6.982027433913807e-06,1.3962191158955865e-05,-6.980163725042058e-06,-0.02676400574838422,-1.5273211815576413,0.022967195506295418,0.045928260391302184,0.5000667412747231
