dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,e480_550,480-550 keV,active_veto,298,0.000298,3.0,13.0,3e-06,1.3e-05,-9.999999999999999e-06,-0.05780346820809248,-2.5,0.010067114093959731,0.0436241610738255,0.23076923076923075
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,e480_550,480-550 keV,active_veto,407,0.000407,3.0,12.0,3e-06,1.2e-05,-9e-06,-0.05202312138728324,-2.32379000772445,0.007371007371007371,0.029484029484029485,0.25
source_volume,ColdPlate_Still_0p7K,e480_550,480-550 keV,active_veto,188826,0.188826,32.0,26.0,3.2e-05,2.6e-05,6e-06,0.034682080924855495,0.7878385971583354,0.00016946818764365076,0.00013769290246046624,1.2307692307692308
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,all_tes_gt0,all TES > 0,raw,4708,0.004708,1911.0,302.0,0.001911,0.000302,0.001609,0.4269036879808968,34.20308952466257,0.4059048428207307,0.06414613423959219,6.327814569536424
source_volume,ColdPlate_MXC_50mK_SD_anchor,all_tes_gt0,all TES > 0,raw,84445,0.084445,1571.0,725.0,0.001571,0.000725,0.000846,0.22446272220748206,17.655678874392777,0.018603824974835693,0.008585469832435313,2.166896551724138
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,all_tes_gt0,all TES > 0,raw,26299,0.026299,482.0,212.0,0.000482,0.000212,0.00027,0.0716370390023879,10.249059843015166,0.018327693068177497,0.008061143009239895,2.2735849056603774
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,all_tes_gt0,all TES > 0,raw,31280,0.03128,482.0,277.0,0.000482,0.000277,0.000205,0.0543910851684797,7.441028588566435,0.015409207161125319,0.008855498721227621,1.740072202166065
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,all_tes_gt0,all TES > 0,raw,26982,0.026982,432.0,310.0,0.000432,0.00031,0.00012199999999999998,0.032369328734412305,4.478760899107549,0.016010673782521682,0.011489140908753984,1.3935483870967744
source_volume,ColdPlate_CP_100mK_intercept,all_tes_gt0,all TES > 0,raw,95876,0.095876,279.0,173.0,0.000279,0.000173,0.000106,0.028124170867604138,4.985820602433066,0.0029100087613167006,0.0018044140347949435,1.6127167630057804
source_volume,ColdPlate_Still_0p7K,all_tes_gt0,all TES > 0,raw,188826,0.188826,223.0,124.0,0.000223,0.000124,9.9e-05,0.02626691430087556,5.314598458240688,0.0011809814326416914,0.0006566892271191467,1.7983870967741935
