code,metric,stage,carrier_group,local_secondary,parent,creator_step_process,histories_with_hit,hit_rows,deposit_keV_sum
megalib,w2_510p58_511p42,raw,gamma|parent=e-|creator=eBrem|step=phot,gamma,e-,eBrem->phot,284,332,1871.1377999999997
megalib,w2_510p58_511p42,raw,gamma|parent=e+|creator=annihil|step=compt,gamma,e+,annihil->compt,471,629,1066.090129999998
megalib,w2_510p58_511p42,raw,e-|parent=e-|creator=eIoni|step=eBrem,e-,e-,eIoni->eBrem,8,8,316.03547399999997
megalib,w2_510p58_511p42,raw,gamma|parent=e-|creator=eIoni|step=phot,gamma,e-,eIoni->phot,111,122,268.34577
megalib,w2_510p58_511p42,raw,gamma|parent=gamma|creator=compt|step=phot,gamma,gamma,compt->phot,30,34,175.28741000000002
megalib,w2_510p58_511p42,raw,e-|parent=e-|creator=eIoni|step=msc,e-,e-,eIoni->msc,2,13,34.064161999999996
megalib,w2_510p58_511p42,raw,gamma|parent=e-|creator=eBrem|step=compt,gamma,e-,eBrem->compt,5,6,10.988330000000001
megalib,w2_510p58_511p42,raw,gamma|parent=gamma|creator=phot|step=compt,gamma,gamma,phot->compt,18,18,10.332009999999999
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=phot|step=Transportation,e-,gamma,phot->Transportation,42,99,6.408816595619996
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=compt|step=Transportation,e-,gamma,compt->Transportation,8,17,1.7269396156
megalib,w2_510p58_511p42,raw,gamma|parent=gamma|creator=compt|step=compt,gamma,gamma,compt->compt,1,1,0.39736
