history_id,parent_resampled_history_id,selected_position_row_index,common_event_id,source_event_id,source_name,production_tag,source_volume,resolved_static_material,nuclide,isotope_Z,isotope_A,za,exc_keV,x_cm,y_cm,z_cm,time_s,history_weight,event_weight_Bq,sampling_probability,selection_u64,A,Z,event_id,isomer,original_activity_weight_Bq,resampled_history_id
303,303,2444,2444,7141,phase3_cu64_common_parent_000000303,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,18.72523,-8.10844,9.807209,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6507140885689418645,64,29,2444,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,303
304,304,1019,1019,5716,phase3_cu64_common_parent_000000304,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,11.42678,3.802047,16.5656,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,2713340240831726487,64,29,1019,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,304
305,305,2788,2788,8686,phase3_cu64_common_parent_000000305,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,6.171982,6.688109,1.043832,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7424481776690859317,64,29,2788,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,305
306,306,3555,3555,9680,phase3_cu64_common_parent_000000306,n,ColdPlate_MXC_50mK_SD_anchor,Copper,Cu-64,29,64,29064,0,-4.649991,-3.299716,4.736732,0.0,1.0,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9466343481797295535,64,29,3555,0,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,306
307,307,97,97,4794,phase3_cu64_common_parent_000000307,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,20.56501,0.7063631,7.846644,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,256065734279532034,64,29,97,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,307
308,308,4625,4625,10964,phase3_cu64_common_parent_000000308,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,1.666608,-0.04395442,13.67181,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12315433021969104694,64,29,4625,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,308
309,309,4322,4322,10661,phase3_cu64_common_parent_000000309,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,8.856102,7.754619,6.922505,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11509126617398073219,64,29,4322,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,309
310,310,5917,5917,234373,phase3_cu64_common_parent_000000310,n,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,Cu-64,29,64,29064,0,-0.7106868,-6.062748,-6.852262,0.0,1.0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15756082119487425439,64,29,5917,0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,310
311,311,2017,2017,6714,phase3_cu64_common_parent_000000311,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,16.85352,0.6091722,11.36282,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,5370483241567533054,64,29,2017,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,311
312,312,2842,2842,8740,phase3_cu64_common_parent_000000312,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,-2.000597,0.7731341,8.778126,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7565990526873705951,64,29,2842,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,312
