common_event_id,source_event_id,production_tag,x_cm,y_cm,z_cm,geometry_local_x_cm,geometry_local_y_cm,geometry_local_z_cm,coordinate_transform_policy,source_volume,expected_material,expected_fluka_region_name,expected_shape_type,expected_depth,expected_contains_static,resolved_static_volume,resolved_static_logical,resolved_static_material,resolved_static_fluka_region_name,resolved_static_depth,containing_volume_count,deepest_volume_count,expected_min_boundary_margin_cm_approx,same_material_as_expected,audit_status,audit_note,original_activity_weight_Bq
5226,11565,n,13.03688,-0.06878583,2.167086,7.686105048,-0.06878583,10.75082746,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.05082745953,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5227,11566,n,10.70778,-1.287201,4.834388,4.153115312,-1.287201,10.98997239,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2899723871,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5228,11567,n,6.035992,7.914165,9.572758,-2.500871222,7.914165,11.03705297,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2629470292,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5229,11568,n,8.540064,0.3695087,7.254462,0.9090578921,0.3695087,11.16841644,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1315835598,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5230,11569,n,13.49266,-3.478788,2.195902,7.988014187,-3.478788,11.09348858,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.08734617902,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5231,11570,n,4.698181,4.328651,11.27834,-4.65287505,4.328651,11.29710634,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.002893661131,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5232,11571,n,11.66994,-0.6791141,3.912012,5.485683497,-0.6791141,11.01810392,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2818960767,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5233,11572,n,8.873253,2.430185,6.561006,1.635005533,2.430185,10.9136692,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2136692015,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5234,11573,n,12.6743,4.574267,3.258472,6.657995829,4.574267,11.26617112,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.0338288757,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5235,11574,n,6.430083,3.607214,9.4088,-2.10627099,3.607214,11.19978158,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1002184243,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5236,11575,n,10.17553,0.5403423,5.792725,3.099111136,0.5403423,11.29126139,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.008738605784,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
