resampled_history_id,selected_position_row_index,common_event_id,source_event_id,production_tag,Z,A,isomer,x_cm,y_cm,z_cm,source_volume,resolved_static_material,original_activity_weight_Bq,sampling_probability,selection_u64
15,5730,5730,234131,n,29,64,0,-9.26167,6.239541,-3.358151,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,0.00014436280272258657460993552083671473057658129698784139404211907867558047352741505,15256741484451859342
16,204,204,4901,n,29,64,0,19.3267,0.7302938,9.25174,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,540857391192578712
17,4325,4325,10664,n,29,64,0,5.672566,3.239225,10.26798,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11516420841940175374
18,4287,4287,10626,n,29,64,0,5.973555,-0.9745717,9.159793,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11415847084068855422
19,2407,2407,7104,n,29,64,0,12.52037,-1.48245,15.39576,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6407245939068191446
20,2401,2401,7098,n,29,64,0,12.94458,-4.406405,15.45133,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6393180254372229414
21,5210,5210,11549,n,29,64,0,5.039296,0.9592113,10.16409,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,13873900136915102248
22,3481,3481,9606,n,29,64,0,3.209516,1.460368,-3.198745,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9268494489630246871
23,6761,6761,236683,n,29,64,0,7.204037,-2.049861,6.647537,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18003733482153757155
24,3500,3500,9625,n,29,64,0,2.677929,3.496261,-2.600331,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9318717985276543958
25,6861,6861,236783,n,29,64,0,7.470549,-1.040256,5.632563,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18268640391859791946
26,5771,5771,234227,n,29,64,0,-6.413753,-5.730455,0.7461571,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15365653398604541393
27,4433,4433,10772,n,29,64,0,10.85128,-7.007549,4.713794,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11804482190211382701
28,6097,6097,234631,n,29,64,0,12.56852,-0.08191074,13.67111,DR_4K_Condenser_Cu,Copper,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,0.00014436280272258657460993552083671473057658129698784139404211907867558047352741505,16235661729440070681
29,6038,6038,234560,n,29,64,0,-0.2338889,-0.07356532,-5.26698,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,0.00067878017572817528276285253272727272727272727272727272727272727272727272727272727,0.00014436280272258657460993552077173805374726153778759919880217712515010005594130306,16078739554391653567
30,4023,4023,10362,n,29,64,0,12.24887,-4.327606,3.409701,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10711903099535025249
31,2725,2725,8623,n,29,64,0,0.5062975,-3.250438,6.552739,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7255496888974634873
32,1103,1103,5800,n,29,64,0,19.05063,-1.918755,9.186015,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,2937135737260140716
33,468,468,5165,n,29,64,0,18.1005,2.952847,9.959711,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,1243814642411467362
34,164,164,4861,n,29,64,0,18.10332,6.542414,9.806605,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,436290746019158889
35,5250,5250,11589,n,29,64,0,12.96815,-3.427388,2.633712,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,13979814811022071233
36,4330,4330,10669,n,29,64,0,4.808685,7.147072,10.79047,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11529292401614425242
37,5439,5439,233747,n,29,64,0,-4.726452,-3.608373,-9.075839,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,0.00067878017572817528276285253315508021390374331550802139037433155080213903743315508,0.00014436280272258657460993552086272404597884846028320376487704562822164795775485443,14482621333348746396
38,6867,6867,236789,n,29,64,0,7.54094,-2.383551,6.171137,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18286828243240927321
39,3591,3591,9716,n,29,64,0,-1.718471,-6.43497,1.925737,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9560638253393817033
40,2284,2284,6981,n,29,64,0,10.36024,-7.906423,18.04638,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6080082716486789284
41,4612,4612,10951,n,29,64,0,5.153982,7.358501,10.62884,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12279474550650131579
42,2055,2055,6752,n,29,64,0,16.78512,-1.022581,11.10014,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,5471637206008269421
43,5029,5029,11368,n,29,64,0,5.917905,6.058556,10.05187,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,13390413103124530021
44,1162,1162,5859,n,29,64,0,20.57284,0.8759926,7.32182,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,3094197628183294269
45,6905,6905,247283,n,29,64,0,11.90166,0.3929828,27.10358,PreCool_FlexLink_Cu_remote_interface,Copper,0.00067878017572817528276285253304347826086956521739130434782608695652173913043478261,0.00014436280272258657460993552083898856974452143702348083459664514915950502684697147,18387214164010621585
46,1479,1479,6176,n,29,64,0,13.19414,-6.419982,15.22165,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,3937218630763429739
47,1766,1766,6463,n,29,64,0,8.906841,3.796419,19.79608,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4702591206148985746
48,1167,1167,5864,n,29,64,0,8.319126,1.023147,19.95332,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,3106961846243578450
49,4800,4800,11139,n,29,64,0,6.458764,-3.290818,9.33623,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12780055724768958850
50,2816,2816,8714,n,29,64,0,4.145549,6.714344,2.896936,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7498827586117986844
51,2211,2211,6908,n,29,64,0,16.4627,-6.500306,11.87544,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,5886289884487748064
52,509,509,5206,n,29,64,0,10.96947,-6.574379,17.51119,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,1354890053749504020
53,5961,5961,234417,n,29,64,0,-0.711083,6.452918,-5.977229,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15873654547042252685
54,5477,5477,233830,n,29,64,0,-2.693049,-7.469759,-1.172147,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14583296910690459742
55,1712,1712,6409,n,29,64,0,20.42275,2.670331,8.261995,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4557199401434232363
56,5310,5310,233618,n,29,64,0,-5.993052,-0.7715262,-7.946749,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,0.00067878017572817528276285253315508021390374331550802139037433155080213903743315508,0.00014436280272258657460993552086272404597884846028320376487704562822164795775485443,14140321489520311233
57,4969,4969,11308,n,29,64,0,3.117677,-3.392382,12.49719,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,13232092147803158545
58,1857,1857,6554,n,29,64,0,12.314,2.667584,16.29108,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4944305127737800725
59,3656,3656,9781,n,29,64,0,-2.154548,-2.387556,2.195309,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9734864305975738618
60,3134,3134,9032,n,29,64,0,6.242688,4.231698,0.4906944,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8344148320623526874
61,3592,3592,9717,n,29,64,0,-1.962443,0.9648417,2.020242,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9564242344943148397
62,1628,1628,6325,n,29,64,0,18.04524,2.149171,10.5748,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4333420619567439620
63,5381,5381,233689,n,29,64,0,-11.93863,-0.1582454,-1.993062,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,0.00067878017572817528276285253315508021390374331550802139037433155080213903743315508,0.00014436280272258657460993552086272404597884846028320376487704562822164795775485443,14327285895390261838
64,3715,3715,9840,n,29,64,0,3.630854,-1.348131,-3.613088,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9891244117243184470
65,5657,5657,234058,n,29,64,0,-6.951969,-7.432474,-5.350874,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,0.00014436280272258657460993552083671473057658129698784139404211907867558047352741505,15062185543262924031
66,5735,5735,234136,n,29,64,0,-6.619516,7.563781,-6.011354,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,0.00014436280272258657460993552083671473057658129698784139404211907867558047352741505,15270537038746800318
67,2471,2471,7168,n,29,64,0,21.18433,2.298929,6.954081,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6579377854944436520
68,5606,5606,233959,n,29,64,0,3.102349,-1.285053,-7.32421,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14926634407874277957
69,6754,6754,236676,n,29,64,0,5.049504,0.1334501,8.446234,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,17983891429313281135
70,4292,4292,10631,n,29,64,0,4.516962,1.637145,11.20127,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11427925368414729290
71,3819,3819,9944,n,29,64,0,-0.5458382,-0.9626219,0.6326622,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,10169200855834656954
72,4069,4069,10408,n,29,64,0,7.793025,-4.061194,8.145835,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10834510028714426253
73,2772,2772,8670,n,29,64,0,3.315905,5.12587,4.065779,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7380955209434050425
74,6573,6573,235410,n,29,64,0,3.700201,4.080713,-1.2519,DR_Continuous_HEX_CuNi_MXC_to_CP,CuNi,0.00067878017572817528276285253296875,0.00014436280272258657460993552082309538139360649989937599488740563567290736770715530,17503670473928243163
75,1315,1315,6012,n,29,64,0,15.23613,-0.2849369,13.16173,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,3500700194411382929
76,4743,4743,11082,n,29,64,0,5.01068,-4.177695,10.12831,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12629525064278531642
77,2255,2255,6952,n,29,64,0,17.71066,-8.163659,10.96252,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6004973950093028195
78,4095,4095,10434,n,29,64,0,7.533253,3.219071,7.968065,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10903190821005232057
79,6281,6281,234913,n,29,64,0,22.11442,7.79828,11.58878,DR_Capillary_CuNi_4K_60K,CuNi,0.00067878017572817528276285253298387096774193548387096774193548387096774193548387097,0.00014436280272258657460993552082631130513616700037316846978458313253676437204922954,16725189073302757101
80,5277,5277,233585,n,29,64,0,-3.330247,-5.212742,-10.61722,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,0.00067878017572817528276285253315508021390374331550802139037433155080213903743315508,0.00014436280272258657460993552086272404597884846028320376487704562822164795775485443,14050518783373271547
81,647,647,5344,n,29,64,0,16.26968,7.426415,11.84512,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,1721692918759160727
82,3028,3028,8926,n,29,64,0,0.7180983,5.400586,6.055248,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8061455313168416143
83,3630,3630,9755,n,29,64,0,1.708372,-1.461736,-1.608938,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9666031746927841621
84,6820,6820,236742,n,29,64,0,7.450008,-2.318012,5.952509,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18160000094577071774
85,2495,2495,7192,n,29,64,0,20.19645,2.182601,7.839428,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6642652858330710626
86,6721,6721,236643,n,29,64,0,5.156716,0.342184,8.120787,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,17895594810962293467
87,6563,6563,235400,n,29,64,0,5.126379,3.576296,-0.7053044,DR_Continuous_HEX_CuNi_MXC_to_CP,CuNi,0.00067878017572817528276285253296875,0.00014436280272258657460993552082309538139360649989937599488740563567290736770715530,17477027594578911220
88,1177,1177,5874,n,29,64,0,11.35206,5.440462,17.31995,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,3132984000139880499
89,5571,5571,233924,n,29,64,0,-1.541057,-7.485956,-1.860868,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14835581634498675184
90,4475,4475,10814,n,29,64,0,3.694425,6.613163,11.76889,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11915124760127983888
91,4115,4115,10454,n,29,64,0,4.313624,-2.94959,11.254,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10956688573292346913
92,4879,4879,11218,n,29,64,0,11.51143,-0.3596195,4.315687,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12991716961252763347
93,1600,1600,6297,n,29,64,0,8.680586,1.794186,19.71386,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4259487792287344812
94,6663,6663,236531,n,29,64,0,2.232271,-0.4312929,-0.1976665,DR_MixingChamber_Cu,Copper,0.00067878017572817528276285253292929292929292929292929292929292929292929292929292929,0.00014436280272258657460993552081470366118995536229941246611530947382277545401992454,17742174414985368641
95,4119,4119,10458,n,29,64,0,3.951683,1.898549,11.35706,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10967123521692721863
96,5998,5998,234508,n,29,64,0,-2.846398,-2.01201,-2.666267,Cu_SubstrateSupport_OpenRing_L3_YM_panel,Copper,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744206,15971188307699801112
97,2375,2375,7072,n,29,64,0,18.88015,-5.614124,9.520117,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6324293559453498473
98,3452,3452,9577,n,29,64,0,-5.239129,1.231102,4.879898,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9192703279427731841
99,6859,6859,236781,n,29,64,0,6.315782,0.04334572,6.650593,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18263397682732057795
100,4141,4141,10480,n,29,64,0,2.542864,1.497877,13.43225,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11025323719132424396
101,2340,2340,7037,n,29,64,0,15.98616,0.07375035,12.2571,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6229045450044924742
102,347,347,5044,n,29,64,0,17.8423,-3.384259,10.80522,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,922789697590543684
103,328,328,5025,n,29,64,0,15.64986,-2.874043,12.71713,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,871805034283967010
104,1605,1605,6302,n,29,64,0,17.91542,-1.982995,10.70675,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4272237585827205088
105,5965,5965,234421,n,29,64,0,-2.053178,6.929622,-6.590955,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15882755045251701419
106,2197,2197,6894,n,29,64,0,13.58912,7.272793,15.08803,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,5850629033306519675
107,6040,6040,234562,n,29,64,0,-0.2736524,-1.590539,-5.112775,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,0.00067878017572817528276285253272727272727272727272727272727272727272727272727272727,0.00014436280272258657460993552077173805374726153778759919880217712515010005594130306,16084386284153794450
108,3837,3837,9962,n,29,64,0,1.268466,4.064062,-1.670664,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,10217920898789616207
109,4077,4077,10416,n,29,64,0,2.491461,-1.747563,12.97369,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10856499190795531540
110,3054,3054,8952,n,29,64,0,3.26529,3.746436,3.456943,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8130969458581267789
