source_volume,rows,activity_weight_Bq,activity_fraction
Cu_ColdFinger_Stem_YM_ZP_to_MXC,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_ColdFinger_Stem_YP_ZP_to_MXC,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_SubstrateSupport_OpenRing_L1_YM_panel,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_SubstrateSupport_OpenRing_L2_YP_panel,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_SubstrateSupport_OpenRing_L3_YM_panel,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_SubstrateSupport_OpenRing_L3_ZM_panel,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
Cu_SubstrateSupport_OpenRing_L4_ZP_panel,1,0.000678780175728175282762852533,0.00014436280272258657460993552082974162379489820087854710967490579585821184334744075
